File,Variable ,Code value,Code description
MEMD,WAGEB,01,"$0-$4,999"
FMLD,WELFRB,01,$0-$999
FMLD,INCLASS,01,"Less than $5,000"
FMLD,ALIOTHB,01,$0-$999
MEMD,BSNSB,01,"$0-$4,999"
FMLD,CHDLMPB,01,$0-$999
FMLD,CHDOTHB,01,$0-$999
FMLD,DIVB,01,$0-$999
MEMD,EDUCA,01,1st grade
MEMD,FARMB,01,"$0-$4,999"
FMLD,INTB,01,$0-$999
FMLD,OTHLOSSB,01,$0-$999
FMLD,PNSIONB,01,$0-$999
FMLD,ROOMLOSB,01,$0-$999
FMLD,SALEB,01,$0-$999
MEMD,SS_RRB,01,Less than $300
FMLD,UNEMPB,01,$0-$999
FMLD,WRKRSB,01,$0-$999
FMLD,WRKRSB,01,$0-$999
FMLD,PICK_UP,01,Interview
MEMD,ORIGIN,01,German
FMLD,PICK_UP,01,Interview
FMLD,INCLASS,01,"Less than $5,000"
FMLD,POCC_REF,01,Managerial & professional specialty
FMLD,EDUC_REF,01,Elementary (1-8 yrs.)
MEMD,EDUCA,01,1st grade
FMLD,EDUCA2,01,Elementary (1-8 yrs.)
FMLD,INDSTRY1,01,"Agriculture, Forestry, Fisheries And Mining"
FMLD,INDSTRY2,01,"Agriculture, Forestry, Fisheries And Mining"
MEMD,INDUSTRY,01,"Agriculture, Forestry, Fisheries And Mining"
FMLD,OCCUEAR2,01,Professional/Technical
FMLD,OCCUEARN,01,Professional/Technical
MEMD,OCCULIST,01,"Administrator, Manager"
FMLD,ORIGIN1,01,European
FMLD,PICK_UP,01,Interview
EXPD,UCC,010110,"Flour, includes all types and varieties of flour. Examples of flour include all purpose, self-rising, barley, bran, buckwheat, corn, graham, potato, rye, soybean, wheat, rice, and cake flour."
EXPD,UCC,010110,Flour
EXPD,UCC,010120,"Prepared flour mixes, includes all types and varieties of prepared baking mixes. Examples of prepared baking mixes include cake mixes, cookie mixes, as well as pancake, waffle, muffin, roll, bread, piecrust, pie, and biscuit prepared flour mixes."
EXPD,UCC,010120,Prepared flour mixes
EXPD,UCC,010210,"Ready-to-eat and cooked cereals, includes all varieties and types of ready-to-eat and cooked cereals, including cereal in a single box, multiple boxes, or unpackaged (e.g. out of a bin or bulk). Also includes granola bars and bars labeled as cereal bars. The bars may be either chewy or crunchy style."
EXPD,UCC,010210,Ready-to-eat and cooked cereals
EXPD,UCC,010310,"Rice, includes all varieties of rice, some of which being white, brown, jasmine, and basmati.  "
EXPD,UCC,010310,Rice
EXPD,UCC,010320,"Pasta, cornmeal and other cereal products, includes pasta, cornmeal, and other cereal products (e.g., couscous, millet, barley, bran, flax seed, and quinoa)."
EXPD,UCC,010320,"Pasta, cornmeal and other cereal products"
FMLD,DESCRIP,02,"HU in nontransient hotel, motel, etc. (HOUSING UNIT)"
EXPD,EXPNMO,02,February
FMLD,INTRDVB,02,"$1,000-$1,999"
FMLD,LUMPB,02,"$1,000-$1,999"
FMLD,NETRENTB,02,"$1,000-$1,999"
FMLD,OCCULIS1,02,Teacher
FMLD,OCCULIS2,02,Teacher
MEMD,OCCULIST,02,Teacher
FMLD,OTHINB,02,"$1,000-$1,999"
FMLD,OTHREGB,02,"$1,000-$1,999"
FMLD,RETSURVB,02,"$1,000-$1,999"
FMLD,ROYESTB,02,"$1,000-$1,999"
MEMD,SMPFRMB,02,"$5,000-$9,999"
FMLD,STATE,02,Alaska
MEMD,SUPPB,02,"$1,000-$1,999"
MEMD,WAGEB,02,"$5,000-$9,999"
FMLD,WELFRB,02,"$1,000-$1,999"
FMLD,INCLASS,02,"$5,000 to $9,999"
FMLD,ALIOTHB,02,"$1,000-$1,999"
MEMD,BSNSB,02,"$5,000-$9,999"
FMLD,CHDLMPB,02,"$1,000-$1,999"
FMLD,CHDOTHB,02,"$1,000-$1,999"
FMLD,DIVB,02,"$1,000-$1,999"
MEMD,EDUCA,02,2nd grade
MEMD,FARMB,02,"$5,000-$9,999"
FMLD,INTB,02,"$1,000-$1,999"
FMLD,OTHLOSSB,02,"$1,000-$1,999"
FMLD,PNSIONB,02,"$1,000-$1,999"
FMLD,ROOMLOSB,02,"$1,000-$1,999"
FMLD,SALEB,02,"$1,000-$1,999"
MEMD,SS_RRB,02,$300-$399
FMLD,UNEMPB,02,"$1,000-$1,999"
FMLD,WRKRSB,02,"$1,000-$1,999"
FMLD,WRKRSB,02,"$1,000-$1,999"
MEMD,ORIGIN,02,Italian
FMLD,INCLASS,02,"$5,000 to $9,999"
FMLD,POCC_REF,02,"Technical, sales, and administrative support"
FMLD,EDUC_REF,02,"High school (1-4 yrs.), less than H.S. grad."
MEMD,EDUCA,02,2nd grade
FMLD,EDUCA2,02,"High school (1-4 yrs.), less than H.S. grad."
FMLD,INDSTRY1,02,Construction
FMLD,INDSTRY2,02,Construction
MEMD,INDUSTRY,02,Construction
FMLD,OCCUEAR2,02,Maangers
FMLD,OCCUEARN,02,Maangers
MEMD,OCCULIST,02,Teacher
FMLD,ORIGIN1,02,Spanish
EXPD,UCC,020110,"White bread, Includes all varieties of white bread. Bread may be sold fresh, day old, frozen, or refrigerated."
EXPD,UCC,020110,White bread
EXPD,UCC,020210,"Bread, other than white, includes all varieties of  bread other than white. Bread may be sold fresh, day old, frozen, or refrigerated."
EXPD,UCC,020210,"Bread, other than white"
EXPD,UCC,020310,"Biscuits and rolls, includes all fresh rolls, biscuits, and muffins, regardless of type of flour."
EXPD,UCC,020310,Biscuits and rolls
EXPD,UCC,020410,"Cakes and cupcakes, includes all cakes, cupcakes, and brownies which are fresh, refrigerated, pre-packaged, or in any other non-frozen form. This also includes cakes such as cheese cake which are kept refrigerated to prevent spoilage; and bread type cakes such as canned nut breads, date breads, gingerbread, baba au rum, banana nut breads, sweet breads, and raisin nut bread."
EXPD,UCC,020410,Cakes and cupcakes
EXPD,UCC,020510,"Cookies, includes all cookies such as filled cookies, iced cookies, and frozen cookies. This also includes unfilled cones that are used for ice cream."
EXPD,UCC,020510,Cookies
EXPD,UCC,020610,Crackers
EXPD,UCC,020610,Crackers
EXPD,UCC,020620,Bread and cracker products
EXPD,UCC,020620,Bread and cracker products
EXPD,UCC,020710,"Sweetrolls, coffee cakes, doughnuts, includes all sweet rolls, coffee cake, and doughnuts both fresh and pre-packaged. Sweet rolls include Danish pastries, cinnamon buns, etc. Coffee cakes include strudels as well as more conventional cinnamon coffee cakes. All doughnuts are included, e.g.,  filled doughnuts, crullers, twists, etc."
EXPD,UCC,020710,"Sweetrolls, coffee cakes, doughnuts"
EXPD,UCC,020810,"Frozen and refrigerated bakery products, all frozen bakery products except frozen bread and cookies. This also includes all frozen or refrigerated doughs and batters."
EXPD,UCC,020810,Frozen and refrigerated bakery products
EXPD,UCC,020820,"Pies, tarts, turnovers, includes all fresh or pre-packaged pies, tarts, turnovers, and toaster pastries."
EXPD,UCC,020820,"Pies, tarts, turnovers"
FMLD,DESCRIP,03,"HU, permanent in transient hotel, motel, etc. (HOUSING UNIT)"
EXPD,EXPNMO,03,March
FMLD,INTRDVB,03,"$2,000-$2,999"
FMLD,LUMPB,03,"$2,000-$2,999"
FMLD,NETRENTB,03,"$2,000-$2,999"
FMLD,OCCULIS1,03,Professional
FMLD,OCCULIS2,03,Professional
MEMD,OCCULIST,03,Professional
FMLD,OTHINB,03,"$2,000-$2,999"
FMLD,OTHREGB,03,"$2,000-$2,999"
FMLD,RETSURVB,03,"$2,000-$2,999"
FMLD,ROYESTB,03,"$2,000-$2,999"
MEMD,SMPFRMB,03,"$10,000-$14,999"
MEMD,SUPPB,03,"$2,000-$2,999"
MEMD,WAGEB,03,"$10,000-$14,999"
FMLD,WELFRB,03,"$2,000-$2,999"
FMLD,INCLASS,03,"$10,000 to $14,999"
FMLD,ALIOTHB,03,"$2,000-$2,999"
MEMD,BSNSB,03,"$10,000-$14,999"
FMLD,CHDLMPB,03,"$2,000-$2,999"
FMLD,CHDOTHB,03,"$2,000-$2,999"
FMLD,DIVB,03,"$2,000-$2,999"
MEMD,EDUCA,03,3rd grade
MEMD,FARMB,03,"$10,000-$14,999"
FMLD,INTB,03,"$2,000-$2,999"
FMLD,OTHLOSSB,03,"$2,000-$2,999"
FMLD,PNSIONB,03,"$2,000-$2,999"
FMLD,ROOMLOSB,03,"$2,000-$2,999"
FMLD,SALEB,03,"$2,000-$2,999"
MEMD,SS_RRB,03,$400-$499
FMLD,UNEMPB,03,"$2,000-$2,999"
FMLD,WRKRSB,03,"$2,000-$2,999"
FMLD,WRKRSB,03,"$2,000-$2,999"
FMLD,PICK_UP,03,Temporarily absent
MEMD,ORIGIN,03,Irish
FMLD,PICK_UP,03,Temporarily absent
FMLD,INCLASS,03,"$10,000 to $14,999"
FMLD,POCC_REF,03,Service
FMLD,EDUC_REF,03,High school graduate (4 yrs.)
MEMD,EDUCA,03,3rd grade
FMLD,EDUCA2,03,High school graduate (4 yrs.)
FMLD,INDSTRY1,03,Manufacturing
FMLD,INDSTRY2,03,Manufacturing
MEMD,INDUSTRY,03,Manufacturing
FMLD,OCCUEAR2,03,Clerical/Sales
FMLD,OCCUEARN,03,Clerical/Sales
MEMD,OCCULIST,03,Professional
FMLD,ORIGIN1,03,African America
FMLD,PICK_UP,03,Temporarily absent
EXPD,UCC,030110,Ground beef
EXPD,UCC,030110,Ground beef
EXPD,UCC,030210,Chuck roast
EXPD,UCC,030210,Chuck roast
EXPD,UCC,030310,Round roast
EXPD,UCC,030310,Round roast
EXPD,UCC,030410,Other roast
EXPD,UCC,030410,Other roast
EXPD,UCC,030510,Round steak
EXPD,UCC,030510,Round steak
EXPD,UCC,030610,Sirloin steak
EXPD,UCC,030610,Sirloin steak
EXPD,UCC,030710,Other steak
EXPD,UCC,030710,Other steak
EXPD,UCC,030810,Other beef
EXPD,UCC,030810,Other beef
FMLD,DESCRIP,04,"HU, in rooming house (HOUSING UNIT)"
EXPD,EXPNMO,04,April
FMLD,INTRDVB,04,"$3,000-$3,999"
FMLD,LUMPB,04,"$3,000-$3,999"
FMLD,NETRENTB,04,"$3,000-$3,999"
FMLD,OCCULIS1,04,"Administrative support, including clerical"
FMLD,OCCULIS2,04,"Administrative support, including clerical"
MEMD,OCCULIST,04,"Administrative support, including clerical"
FMLD,OTHINB,04,"$3,000-$3,999"
FMLD,OTHREGB,04,"$3,000-$3,999"
FMLD,RETSURVB,04,"$3,000-$3,999"
FMLD,ROYESTB,04,"$3,000-$3,999"
MEMD,SMPFRMB,04,"$15,000-$19,999"
FMLD,STATE,04,Arizona
MEMD,SUPPB,04,"$3,000-$3,999"
MEMD,WAGEB,04,"$15,000-$19,999"
FMLD,WELFRB,04,"$3,000-$3,999"
FMLD,INCLASS,04,"$15,000 to $19,999"
FMLD,ALIOTHB,04,"$3,000-$3,999"
MEMD,BSNSB,04,"$15,000-$19,999"
FMLD,CHDLMPB,04,"$3,000-$3,999"
FMLD,CHDOTHB,04,"$3,000-$3,999"
FMLD,DIVB,04,"$3,000-$3,999"
MEMD,EDUCA,04,4th grade
MEMD,FARMB,04,"$15,000-$19,999"
FMLD,INTB,04,"$3,000-$3,999"
FMLD,OTHLOSSB,04,"$3,000-$3,999"
FMLD,PNSIONB,04,"$3,000-$3,999"
FMLD,ROOMLOSB,04,"$3,000-$3,999"
FMLD,SALEB,04,"$3,000-$3,999"
MEMD,SS_RRB,04,$500-$599
FMLD,UNEMPB,04,"$3,000-$3,999"
FMLD,WRKRSB,04,"$3,000-$3,999"
FMLD,WRKRSB,04,"$3,000-$3,999"
MEMD,ORIGIN,04,French
FMLD,INCLASS,04,"$15,000 to $19,999"
FMLD,POCC_REF,04,"Farming, forestry, and fishing"
FMLD,EDUC_REF,04,"College (1-4 yrs.), less than college grad."
MEMD,EDUCA,04,4th grade
FMLD,EDUCA2,04,"College (1-4 yrs.), less than college grad."
FMLD,INDSTRY1,04,"Transportation, Communications And Other Public Utilities"
FMLD,INDSTRY2,04,"Transportation, Communications And Other Public Utilities"
MEMD,INDUSTRY,04,"Transportation, Communications And Other Public Utilities"
FMLD,OCCUEAR2,04,Craftsmen/Foremen
FMLD,OCCUEARN,04,Craftsmen/Foremen
MEMD,OCCULIST,04,"Administrative support, including clerical"
FMLD,ORIGIN1,04,Other and Don't Know
EXPD,UCC,040110,Bacon
EXPD,UCC,040110,Bacon
EXPD,UCC,040210,Pork chops
EXPD,UCC,040210,Pork chops
EXPD,UCC,040310,"Ham, not canned"
EXPD,UCC,040310,"Ham, not canned"
EXPD,UCC,040410,Other pork
EXPD,UCC,040410,Other pork
EXPD,UCC,040510,Sausage
EXPD,UCC,040510,Sausage
EXPD,UCC,040610,Canned ham
EXPD,UCC,040610,Canned ham
FMLD,DESCRIP,05,Mobile home or trailer with no permanent room added (HOUSING UNIT)
EXPD,EXPNMO,05,May
FMLD,INTRDVB,05,"$4,000-$4,999"
FMLD,LUMPB,05,"$4,000-$4,999"
FMLD,NETRENTB,05,"$4,000-$4,999"
FMLD,OCCULIS1,05,"Sales, retail"
FMLD,OCCULIS2,05,"Sales, retail"
MEMD,OCCULIST,05,"Sales, retail"
FMLD,OTHINB,05,"$4,000-$4,999"
FMLD,OTHREGB,05,"$4,000-$4,999"
FMLD,RETSURVB,05,"$4,000-$4,999"
FMLD,ROYESTB,05,"$4,000-$4,999"
MEMD,SMPFRMB,05,"$20,000-$29,999"
FMLD,STATE,05,Arkansas
MEMD,SUPPB,05,"$4,000-$4,999"
MEMD,WAGEB,05,"$20,000-$29,999"
FMLD,WELFRB,05,"$4,000-$4,999"
FMLD,INCLASS,05,"$20,000 to $29,999"
FMLD,ALIOTHB,05,"$4,000-$4,999"
MEMD,BSNSB,05,"$20,000-$29,999"
FMLD,CHDLMPB,05,"$4,000-$4,999"
FMLD,CHDOTHB,05,"$4,000-$4,999"
FMLD,DIVB,05,"$4,000-$4,999"
MEMD,EDUCA,05,5th grade
MEMD,FARMB,05,"$20,000-$29,999"
FMLD,INTB,05,"$4,000-$4,999"
FMLD,OTHLOSSB,05,"$4,000-$4,999"
FMLD,PNSIONB,05,"$4,000-$4,999"
FMLD,ROOMLOSB,05,"$4,000-$4,999"
FMLD,SALEB,05,"$4,000-$4,999"
MEMD,SS_RRB,05,$600-$699
FMLD,UNEMPB,05,"$4,000-$4,999"
FMLD,WRKRSB,05,"$4,000-$4,999"
FMLD,WRKRSB,05,"$4,000-$4,999"
MEMD,ORIGIN,05,Polish
FMLD,INCLASS,05,"$20,000 to $29,999"
FMLD,POCC_REF,05,"Precision production, craft, and repair"
FMLD,EDUC_REF,05,College graduate (4 yrs.)
MEMD,EDUCA,05,5th grade
FMLD,EDUCA2,05,College graduate (4 yrs.)
FMLD,INDSTRY1,05,Wholesale & Retail Trade
FMLD,INDSTRY2,05,Wholesale & Retail Trade
MEMD,INDUSTRY,05,Wholesale & Retail Trade
FMLD,OCCUEAR2,05,"Operators, fabricators, and laborers"
FMLD,OCCUEARN,05,"Operators, fabricators, and laborers"
MEMD,OCCULIST,05,"Sales, retail"
EXPD,UCC,050110,Frankfurters
EXPD,UCC,050110,Frankfurters
EXPD,UCC,050210,"Includes all bologna, liverworst, and salami lunchmeats. Lunchmeats are typically intended for sandwiches; they are usually sliced and generally do not require cooking before use. The sausage may or may not be sliced, and may or may not require cooking before use."
EXPD,UCC,050210,"Bologna, liverwurst, salami"
EXPD,UCC,050310,Other lunchmeats
EXPD,UCC,050310,Other lunchmeats
EXPD,UCC,050410,Lamb and organ meats
EXPD,UCC,050410,Lamb and organ meats
EXPD,UCC,050900,"Mutton, goat and game"
EXPD,UCC,050900,"Mutton, goat and game"
FMLD,DESCRIP,06,Mobile home or trailer with one or more permanent rooms added (HOUSING UNIT)
EXPD,EXPNMO,06,June
FMLD,INTRDVB,06,"$5,000-$9,999"
FMLD,LUMPB,06,"$5,000-$9,999"
FMLD,NETRENTB,06,"$5,000-$9,999"
FMLD,OCCULIS1,06,"Sales, business goods and services"
FMLD,OCCULIS2,06,"Sales, business goods and services"
MEMD,OCCULIST,06,"Sales, business goods, and services"
FMLD,OTHINB,06,"$5,000-$9,999"
FMLD,OTHREGB,06,"$5,000-$9,999"
FMLD,RETSURVB,06,"$5,000-$9,999"
FMLD,ROYESTB,06,"$5,000-$9,999"
MEMD,SMPFRMB,06,"$30,000-$39,999"
FMLD,STATE,06,California
MEMD,SUPPB,06,"$5,000-$9,999"
MEMD,WAGEB,06,"$30,000-$39,999"
FMLD,WELFRB,06,"$5,000-$9,999"
FMLD,INCLASS,06,"$30,000 to $39,999"
FMLD,ALIOTHB,06,"$5,000-$9,999"
MEMD,BSNSB,06,"$30,000-$39,999"
FMLD,CHDLMPB,06,"$5,000-$9,999"
FMLD,CHDOTHB,06,"$5,000-$9,999"
FMLD,DIVB,06,"$5,000-$9,999"
MEMD,EDUCA,06,6th grade
MEMD,FARMB,06,"$30,000-$39,999"
FMLD,INTB,06,"$5,000-$9,999"
FMLD,OTHLOSSB,06,"$5,000-$9,999"
FMLD,PNSIONB,06,"$5,000-$9,999"
FMLD,ROOMLOSB,06,"$5,000-$9,999"
FMLD,SALEB,06,"$5,000-$9,999"
MEMD,SS_RRB,06,$700-$799
FMLD,UNEMPB,06,"$5,000-$9,999"
FMLD,WRKRSB,06,"$5,000-$9,999"
FMLD,WRKRSB,06,"$5,000-$9,999"
MEMD,ORIGIN,06,Russian
FMLD,INCLASS,06,"$30,000 to $39,999"
FMLD,POCC_REF,06,"Operators, fabricators, and laborers"
FMLD,EDUC_REF,06,More than 4 yrs. of college
MEMD,EDUCA,06,6th grade
FMLD,EDUCA2,06,More than 4 yrs. of college
FMLD,INDSTRY1,06,"Finance Insurance, And Real Estate"
FMLD,INDSTRY2,06,"Finance Insurance, And Real Estate"
MEMD,INDUSTRY,06,"Finance Insurance, And Real Estate"
FMLD,OCCUEAR2,06,Retired
FMLD,OCCUEARN,06,Retired
MEMD,OCCULIST,06,"Sales, business goods, and services"
EXPD,UCC,060110,Fresh and frozen whole chicken
EXPD,UCC,060110,Fresh and frozen whole chicken
EXPD,UCC,060210,"Includes all uncooked, fresh and frozen chicken parts, organ meats and chicken roasts. Uncooked chicken that has been seasoned or marinated is included."
EXPD,UCC,060210,Fresh and frozen chicken parts
EXPD,UCC,060310,Other poultry
EXPD,UCC,060310,Other poultry
FMLD,DESCRIP,07,HU not specified above (HOUSING UNIT)
EXPD,EXPNMO,07,July
FMLD,INTRDVB,07,"$10,000-$14,999"
FMLD,LUMPB,07,"$10,000-$14,999"
FMLD,NETRENTB,07,"$10,000-$14,999"
FMLD,OCCULIS1,07,Technician
FMLD,OCCULIS2,07,Technician
MEMD,OCCULIST,07,Technician
FMLD,OTHINB,07,"$10,000-$14,999"
FMLD,OTHREGB,07,"$10,000-$14,999"
FMLD,RETSURVB,07,"$10,000-$14,999"
FMLD,ROYESTB,07,"$10,000-$14,999"
MEMD,SMPFRMB,07,"$40,000-$49,999"
MEMD,SUPPB,07,"$10,000-$14,999"
MEMD,WAGEB,07,"$40,000-$49,999"
FMLD,WELFRB,07,"$10,000-$14,999"
FMLD,INCLASS,07,"$40,000 to $49,999"
FMLD,ALIOTHB,07,"$10,000-$14,999"
MEMD,BSNSB,07,"$40,000-$49,999"
FMLD,CHDLMPB,07,"$10,000-$14,999"
FMLD,CHDOTHB,07,"$10,000-$14,999"
FMLD,DIVB,07,"$10,000-$14,999"
MEMD,EDUCA,07,7th grade
MEMD,FARMB,07,"$40,000-$49,999"
FMLD,INTB,07,"$10,000-$14,999"
FMLD,OTHLOSSB,07,"$10,000-$14,999"
FMLD,PNSIONB,07,"$10,000-$14,999"
FMLD,ROOMLOSB,07,"$10,000-$14,999"
FMLD,SALEB,07,"$10,000-$14,999"
MEMD,SS_RRB,07,$800-$899
FMLD,UNEMPB,07,"$10,000-$14,999"
FMLD,WRKRSB,07,"$10,000-$14,999"
FMLD,WRKRSB,07,"$10,000-$14,999"
MEMD,ORIGIN,07,English
FMLD,INCLASS,07,"$40,000 to $49,999"
FMLD,POCC_REF,07,Armed forces
FMLD,EDUC_REF,07,Never attended school
MEMD,EDUCA,07,7th grade
FMLD,EDUCA2,07,Never attended school
FMLD,INDSTRY1,07,Professional And Related Services
FMLD,INDSTRY2,07,Professional And Related Services
MEMD,INDUSTRY,07,Professional And Related Services
FMLD,OCCUEAR2,07,"Other, including not reported"
FMLD,OCCUEARN,07,"Other, including not reported"
MEMD,OCCULIST,07,Technician
EXPD,UCC,070110,Canned fish and seafood
EXPD,UCC,070110,Canned fish and seafood
EXPD,UCC,070210,FRESH AND FROZEN SHELLFISH
EXPD,UCC,070210,FRESH AND FROZEN SHELLFISH
EXPD,UCC,070220,FRESH AND FROZEN FISH
EXPD,UCC,070220,FRESH AND FROZEN FISH
EXPD,UCC,070230,Fresh fish and shellfish
EXPD,UCC,070240,Frozen fish and shellfish
FMLD,DESCRIP,08,Quarters not HU in rooming or boarding house (OTHER UNIT)
EXPD,EXPNMO,08,August
FMLD,INTRDVB,08,"$15,000-$19,999"
FMLD,LUMPB,08,"$15,000-$19,999"
FMLD,NETRENTB,08,"$15,000-$19,999"
FMLD,OCCULIS1,08,Protective service
FMLD,OCCULIS2,08,Protective service
MEMD,OCCULIST,08,Protective Service
FMLD,OTHINB,08,"$15,000-$19,999"
FMLD,OTHREGB,08,"$15,000-$19,999"
FMLD,RETSURVB,08,"$15,000-$19,999"
FMLD,ROYESTB,08,"$15,000-$19,999"
MEMD,SMPFRMB,08,"$50,000-$69,999"
FMLD,STATE,08,Colorado
MEMD,SUPPB,08,"$15,000-$19,999"
MEMD,WAGEB,08,"$50,000-$69,999"
FMLD,WELFRB,08,"$15,000-$19,999"
FMLD,INCLASS,08,"$50,000 to $69,999"
FMLD,ALIOTHB,08,"$15,000-$19,999"
MEMD,BSNSB,08,"$50,000-$69,999"
FMLD,CHDLMPB,08,"$15,000-$19,999"
FMLD,CHDOTHB,08,"$15,000-$19,999"
FMLD,DIVB,08,"$15,000-$19,999"
MEMD,EDUCA,08,8th grade
MEMD,FARMB,08,"$50,000-$69,999"
FMLD,INTB,08,"$15,000-$19,999"
FMLD,OTHLOSSB,08,"$15,000-$19,999"
FMLD,PNSIONB,08,"$15,000-$19,999"
FMLD,ROOMLOSB,08,"$15,000-$19,999"
FMLD,SALEB,08,"$15,000-$19,999"
MEMD,SS_RRB,08,$900-$999
FMLD,UNEMPB,08,"$15,000-$19,999"
FMLD,WRKRSB,08,"$15,000-$19,999"
FMLD,WRKRSB,08,"$15,000-$19,999"
MEMD,ORIGIN,08,Scottish
FMLD,INCLASS,08,"$50,000 to $69,999"
FMLD,POCC_REF,08,Self-employed
FMLD,EDUC_REF,08,Suppressed
MEMD,EDUCA,08,8th grade
FMLD,EDUCA2,08,Suppressed
FMLD,INDSTRY1,08,Other Services
FMLD,INDSTRY2,08,Other Services
MEMD,INDUSTRY,08,Other Services
EXPD,UCC,080110,Eggs
EXPD,UCC,080110,Eggs
FMLD,DESCRIP,09,Student quarters in college dormitory. (OTHER UNIT)
EXPD,EXPNMO,09,Septemebr
FMLD,INTRDVB,09,"$20,000-$29,999"
FMLD,LUMPB,09,"$20,000-$29,999"
FMLD,NETRENTB,09,"$20,000-$29,999"
FMLD,OCCULIS1,09,Private household service
FMLD,OCCULIS2,09,Private household service
MEMD,OCCULIST,09,Private household service
FMLD,OTHINB,09,"$20,000-$29,999"
FMLD,OTHREGB,09,"$20,000-$29,999"
FMLD,RETSURVB,09,"$20,000-$29,999"
FMLD,ROYESTB,09,"$20,000-$29,999"
MEMD,SMPFRMB,09,"$70,000-$89,999"
FMLD,STATE,09,Connecticut
MEMD,SUPPB,09,"$20,000-$29,999"
MEMD,WAGEB,09,"$70,000-$89,999"
FMLD,WELFRB,09,"$20,000-$29,999"
FMLD,INCLASS,09,"$70,000 and over"
FMLD,ALIOTHB,09,"$20,000-$29,999"
MEMD,BSNSB,09,"$70,000-$89,999"
FMLD,CHDLMPB,09,"$20,000-$29,999"
FMLD,CHDOTHB,09,"$20,000-$29,999"
FMLD,DIVB,09,"$20,000-$29,999"
MEMD,EDUCA,09,9th grade
MEMD,FARMB,09,"$70,000-$89,999"
FMLD,INTB,09,"$20,000-$29,999"
FMLD,OTHLOSSB,09,"$20,000-$29,999"
FMLD,PNSIONB,09,"$20,000-$29,999"
FMLD,ROOMLOSB,09,"$20,000-$29,999"
FMLD,SALEB,09,"$20,000-$29,999"
MEMD,SS_RRB,09,"$1,000-$1,499"
FMLD,UNEMPB,09,"$20,000-$29,999"
FMLD,WRKRSB,09,"$20,000-$29,999"
FMLD,WRKRSB,09,"$20,000-$29,999"
FMLD,INCLASS,09,"$70,000 and over"
FMLD,POCC_REF,09,Not working
FMLD,EDUC_REF,09,Suppressed
MEMD,EDUCA,09,9th grade
FMLD,EDUCA2,09,Suppressed
FMLD,INDSTRY1,09,Public Administration
FMLD,INDSTRY2,09,Public Administration
MEMD,INDUSTRY,09,Public Administration
EXPD,UCC,090110,"Fresh milk, all types"
EXPD,UCC,090110,"Fresh milk, all types"
EXPD,UCC,090210,"Included are various types and varieties of yogurt, sour cream, whipping cream, whipped or pre-whipped cream, half and half, etc., that may be used in baking, cooking, toppings, fillings or used as a substitute for milk or cream in coffee or other beverages, etc."
EXPD,UCC,090210,"Other fresh milk and cream, excluding whole specifically, and excluding nondairy substitutes"
EXPD,UCC,090210,"Other fresh milk and cream, excluding whole specifically, and excluding nondairy substitutes"
EXPD,ALLOC,1,"Allocated, not topcoded"
MEMD,ARM_FORC,1,Yes
MEMD,ASIAN,1,Chinese
FMLD,BLS_URBN,1,Urban
FMLD,CHILDAGE,1,Oldest child less than 6
MEMD,CU_CODE1,1,Reference person
